Cromossomo,Aptidão,Fitness
1,104.169,0.9508505358042769
10,106.255,0.9323574658524079
100,107.065,0.9253689908851155
11,106.253,0.9323748519854922
12,106.691,0.9285827042185512
13,106.43299999999999,0.9308126925618758
14,105.249,0.9411853288030947
15,106.371,0.9313501783535592
16,106.681,0.9286689388100037
17,106.111,0.9336109269822893
18,105.701,0.9371983392845429
19,105.719,0.9370402646201708
2,104.507,0.9478044110817291
20,107.485,0.9217864220860027
21,102.943,0.9620657475731892
22,103.137,0.9602734858887811
23,104.95100000000001,0.9438325263565233
24,105.157,0.9420009985210585
25,103.749,0.954663051675911
26,104.709,0.9459932456082263
27,106.173,0.9330708294066602
28,105.387,0.9399644693430589
29,105.619,0.9379191326123861
3,106.645,0.9289795160016722
30,104.825,0.9449562957713206
31,106.45700000000001,0.9306048000595586
32,105.733,0.9369173545201578
33,106.575,0.9295840111550081
34,105.051,0.9429425465106411
35,105.741,0.9368471346530387
36,105.991,0.93465805535045
37,105.113,0.9423916014060483
38,107.07900000000001,0.9252491233264556
39,104.443,0.9483796932940072
4,105.755,0.9367242752095921
40,105.603,0.9380599045055018
41,104.595,0.947014536673138
42,105.993,0.9346405839634369
43,106.523,0.930033574212029
44,105.631,0.9378135814162861
45,107.557,0.9211750508949216
46,106.175,0.933053417308141
47,106.379,0.9312807904711349
48,106.663,0.9288242014433928
49,105.241,0.941256200525221
5,107.389,0.9226028471523864
50,103.903,0.9532615845114057
51,107.333,0.9230797633223486
52,105.789,0.9364260363895157
53,103.417,0.9576984590631794
54,105.547,0.9385529390785288
55,105.127,0.9422672835376483
56,102.20700000000001,0.9689265263015104
57,105.137,0.9421785051395838
58,106.423,0.9308993418541653
59,103.943,0.9528982399969508
6,107.065,0.9253689908851155
60,106.085,0.9338376056403792
61,105.261,0.9410790412286728
62,103.051,0.9610671689844403
63,105.433,0.9395582197250852
64,104.655,0.9464767403341062
65,105.10300000000001,0.942480419969275
66,107.265,0.92365953909389
67,106.181,0.9330011849115049
68,103.123,0.9604026007702429
69,104.113,0.9513571109187255
7,104.395,0.9488116134541487
70,106.709,0.9284275223054712
71,103.995,0.9524263060145721
72,106.579,0.9295494473828536
73,107.233,0.9239326268328513
74,106.587,0.9294803275488674
75,105.499,0.9389759528258482
76,107.271,0.9236083531139455
77,104.987,0.9435119401436025
78,105.231,0.9413448051886926
79,105.709,0.9371280772943238
8,105.69500000000001,0.9372510426917849
80,106.399,0.9311073659903724
81,103.211,0.9595915978159696
82,105.997,0.9346056431488733
83,107.095,0.9251121698505944
84,105.691,0.9372861815898248
85,105.915,0.9353224524154702
86,103.851,0.9537343468350326
87,106.745,0.9281173140284932
88,106.807,0.9275835520884543
89,105.243,0.9412384815940815
9,103.765,0.9545172528993462
90,106.129,0.9334540600584342
91,106.449,0.930674087241389
92,105.385,0.9399821403393335
93,104.479,0.9480560111491387
94,105.677,0.9374091884848654
95,105.571,0.938341575100168
96,105.477,0.9391699615879485
97,104.591,0.9470504114934039
98,104.079,0.9516649378086963
99,105.399,0.9398584573163281
